TF	gene
E2F4	EIF2AK2
ELK1	IFI44
HNF4A	IFIT3
ZNF274	IFIT3
ATF2	IFIT3
GABPA	IFIT3
ZZZ3	IFIT3
TCF12	IFIT3
CEBPD	IFITM3
FOSL2	IFITM3
ZNF217	IFITM3
ZNF263	IFITM3
TCF3	IFITM3
ARID3A	IFITM3
TAL1	IFITM3
SIX5	IFITM3
SREBF1	IFITM3
PBX3	IFITM3
ATF1	IFITM3
MYOD1	IFITM3
MAZ	IFITM3
ELK4	PARP9
REST	PARP9
TCF7L2	PARP9
ELF1	TRIM22
CREB1	TRIM22
SP2	ZBP1
FOXM1	ZBP1
CBX2	ZBP1
CTCFL	ZBP1
BCL11A	ZBP1
MYOG	ZBP1
ZNF384	ZBP1
ESR1	ZBP1
USF2	ZBP1
SRF	IFITM3
ZBTB7A	IFITM3
ZBTB33	IFITM3
ZNF143	IFI44
NFIC	IFI44
FOSL1	IFIT3
FOXA1	IFITM3
CUX1	ZBP1
SPI1	IFITM3
TEAD4	IFITM3
MEF2C	IFITM3
SETDB1	IFITM3
EGR1	IFITM3
MAFF	IFITM3
MAFK	PARP9
BACH1	ZBP1
GATA1	ZBP1
MYBL2	IFITM3
NANOG	IFITM3
MBD4	PARP9
YY1	IFI44
MXI1	IFITM3
TBP	ZBP1
MYB	IFITM3
RXRA	IFITM3
BHLHE40	IFITM3
JUND	IFITM3
SRF	EIF2AK2
ZBTB7A	EIF2AK2
ZBTB33	EIF2AK2
ZNF143	IFI44L
NFIC	IFI44L
FOSL1	IFI44L
FOXA1	IFI44L
CUX1	IFI44L
SPI1	IFIT3
TEAD4	IFIT3
MEF2C	IFIT3
SETDB1	IFIT3
EGR1	IFIT3
MAFF	IFIT3
MAFK	IFIT3
BACH1	IFIT3
GATA1	IFITM3
MYBL2	PARP9
NANOG	PARP9
MBD4	TRIM22
YY1	XAF1
MXI1	XAF1
TBP	XAF1
MYB	ZBP1
RXRA	ZBP1
BHLHE40	ZBP1
JUND	ZBP1
STAT2	IFITM3
IRF1	ZBP1
STAT1	IFITM3
RELA	IFITM3
IRF4	ZBP1
MYC	IFITM3
STAT5A	IFITM3
RUNX3	ZBP1
STAT3	IFITM3
FLI1	IFITM3
ATF3	IFITM3
BATF	IFITM3
PRDM1	IFITM3
GATA2	IFITM3
ETS1	IFITM3
RFX5	IFITM3
IKZF1	ZBP1
JUN	IFITM3
EBF1	EIF2AK2
CEBPB	IFITM3
USF1	ZBP1
NFE2	IFITM3
FOS	IFITM3
PAX5	EIF2AK2
POU2F2	IFITM3
GATA3	IFITM3
E2F1	IFITM3
E2F6	IFITM3
MAX	ZBP1
CTCF	IFITM3
NR3C1	EIF2AK2
STAT2	ZBP1
IRF1	IFITM3
STAT1	ZBP1
RELA	ZBP1
IRF4	EIF2AK2
MYC	IFI44
STAT5A	ZBP1
RUNX3	IFITM3
STAT3	EIF2AK2
FLI1	PARP9
ATF3	IFI44
BATF	ZBP1
PRDM1	IFI44
GATA2	IFI44
ETS1	EIF2AK2
RFX5	EIF2AK2
IKZF1	IFITM3
JUN	ZBP1
EBF1	IFI44
CEBPB	EIF2AK2
USF1	EIF2AK2
NFE2	IFI44
FOS	IFI44
PAX5	IFI44L
POU2F2	TRIM22
GATA3	ZBP1
E2F1	EIF2AK2
E2F6	EIF2AK2
MAX	EIF2AK2
CTCF	ZBP1
NR3C1	IFI44
STAT2	IFI44
IRF1	EIF2AK2
STAT1	EIF2AK2
RELA	EIF2AK2
IRF4	PARP9
MYC	PARP9
STAT5A	EIF2AK2
RUNX3	IFI44
STAT3	PARP9
FLI1	TRIM22
ATF3	XAF1
BATF	IFI44
PRDM1	IFI44L
GATA2	IFIT3
ETS1	XAF1
RFX5	PARP9
IKZF1	PARP9
JUN	IFI44
EBF1	IFI44L
CEBPB	IFIT3
USF1	IFIT3
NFE2	IFIT3
FOS	IFIT3
PAX5	IFIT3
POU2F2	IFIT3
GATA3	IFIT3
E2F1	PARP9
E2F6	PARP9
MAX	PARP9
CTCF	PARP9
NR3C1	TRIM22
RUNX3	IFIT3
RFX5	XAF1
IRF4	IFI44L
PRDM1	TRIM22
ETS1	TRIM22
IKZF1	XAF1
STAT2	EIF2AK2
IRF1	IFI44
STAT1	IFI44
BATF	PARP9
RELA	IFI44L
MYC	IFI44L
STAT5A	IFIT3
STAT3	IFIT3
FLI1	IFIT3
ATF3	IFIT3
GATA2	TRIM22
RUNX3	IFI44L
RFX5	IFI44L
IRF4	IFIT3
PRDM1	IFIT3
ETS1	IFIT3
IKZF1	IFIT3
STAT2	PARP9
IRF1	PARP9
STAT1	PARP9
BATF	XAF1
BATF	IFIT3
RFX5	TRIM22
IKZF1	TRIM22
STAT2	XAF1
IRF1	XAF1
STAT1	XAF1
STAT1	IFI44L
RFX5	IFIT3
IRF1	IFIT3
BATF	TRIM22
STAT2	TRIM22
IRF1	IFI44L
STAT2	IFIT3
STAT1	TRIM22
IRF1	TRIM22
STAT2	IFI44L
STAT1	IFIT3
